Category	id	question_main	question_var1	question_var2	question_var3	answer	
Account & Login	acc-001	How do I reset my RabbitLoader account password?	I forgot my RabbitLoader password, what do I do?	How to change my login password on RabbitLoader?	My password isn't working, how can I fix it?	To reset your RabbitLoader account password, go to the login page, click on “Forgot Password”, enter your registered email address, and follow the instructions sent to your inbox to create a new password.	I lost my account 
Account Management	acc-002	How do I upgrade my plan?	What are the steps to upgrade my plan?	How can I switch to a higher RabbitLoader tier?	Can I upgrade my account from the dashboard?	You can upgrade your RabbitLoader plan anytime by going to the Billing section in the left menu and selecting the desired new plan.	
Account Management	acc-003	How do I downgrade my plan?	What steps are needed to downgrade my RabbitLoader plan?	Can I reduce my plan tier in the dashboard?	How to switch to a lower RabbitLoader plan?	To downgrade your RabbitLoader plan, simply contact the RabbitLoader support team for assistance at support@rabbitloader.com.	
Account Management	acc-004	Can I transfer my RabbitLoader account to another email?	Is it possible to change my account’s email?	How do I move my RabbitLoader account to a new email?	Can I update the email for my RabbitLoader account?	You can request an email transfer by contacting RabbitLoader support at support@rabbitloader.com. but if your account is linked to a third-party license, the transfer may not be possible.	
Account Management	acc-005	How do I cancel my RabbitLoader subscription?	What are the steps to cancel my plan?	Can I terminate my RabbitLoader subscription?	How to stop my RabbitLoader account?	You can cancel your RabbitLoader subscription by sending an email request to the RabbitLoader support team at support@rabbitloader.com.	
Account Management	acc-006	Can I pause my subscription instead of canceling?	Is pausing my RabbitLoader plan possible?	Can I temporarily halt my subscription?	Does RabbitLoader allow pausing subscriptions?	RabbitLoader does not offer a pause option for subscriptions—only full cancellation is available. However, you can re-subscribe to a plan anytime when you’re ready.	
Account Management	acc-007	How do I change my billing details?	Can I update my payment method in RabbitLoader?	How to modify my RabbitLoader billing information?	Where can I edit my billing details?	To update your billing details, you need to email RabbitLoader support at support@rabbitloader.com. They will provide you with a secure link to add or update your credit card information.	
Account Management	acc-008	Can I delete my RabbitLoader account permanently?	Is it possible to remove my account completely?	How do I fully delete my RabbitLoader account?	Can I erase my RabbitLoader account?	Yes — you can permanently delete your RabbitLoader account from the dashboard. Simply go to the profile icon, select My Websites, click on the three-dot action menu, and choose Delete.	
Account Management	acc-009	Will my optimizations be lost if I cancel my account?	What happens to optimizations after cancellation?	Does canceling RabbitLoader affect my site’s optimizations?	Can I retain optimizations after ending my plan?	If you cancel your account or your plan expires, all optimizations will stop, and any cached assets will gradually expire.	
Account Management	acc-010	How do I add another website to my account?	Can I include multiple sites in my RabbitLoader account?	How to manage additional websites in RabbitLoader?	Is it possible to add a new site to my plan?	To add another website to your account, install the RabbitLoader plugin on your new WordPress site and log in using the same email associated with your account. If you are on a paid plan, you will need to subscribe to an additional plan unless you are an agency user, in which case one subscription covers multiple sites.	
Account Management	acc-011	Can I manage multiple domains in one account?	Does RabbitLoader support multiple domains?	How do I handle multiple sites in my account?	Can I add several domains to my RabbitLoader plan?	Yes — you can manage multiple domains under one account. If you have an agency plan, a single subscription allows you to manage multiple sites. However, for individual accounts, each site requires its own separate subscription.	
